respondent_id,industry,region,exec_level,viz_tool,cynefin_domain,data_type,data_trust,data_quality_score,viz_clarity_score,decision_confidence,decision_speed_score,collaboration_score,cognitive_load_score,d3m_adoption_score,big_data_readiness,years_using_viz,pct_decisions_datadriven,monthly_data_gb,num_dashboards,viz_effective
R0018,Education,Chitwan,Department Head,Power BI,Chaotic,Unstructured,Medium,10,7,7.0,7,3,6,9,6,14,85,95.8,3,1
R0019,IT/Software,Pokhara,CFO,Power BI,Complex,Structured,Medium,8,1,6.0,9,7,7,10,10,19,34,23.3,12,0
R0020,IT/Software,Pokhara,Department Head,Python/Matplotlib,Complicated,Unstructured,Medium,4,1,9.0,5,10,4,5,5,1,95,9.6,20,0
R0021,Consulting,Biratnagar,Department Head,Tableau,Complicated,Multi-structured,High,8,3,4.0,6,8,6,5,2,18,6,67.0,14,0
R0022,Banking,Pokhara,General Manager,Power BI,Simple,Unstructured,High,3,2,5.0,8,4,7,1,2,4,6,18.6,8,0
R0023,Banking,Lalitpur,General Manager,Power BI,Complex,Structured,Medium,6,6,8.0,9,7,4,5,10,2,23,10.8,22,1
R0024,Consulting,Pokhara,General Manager,Python/Matplotlib,Complex,Structured,Low,9,10,9.0,9,4,8,8,9,5,70,1.5,13,1
R0025,Banking,Biratnagar,CEO,No Tool,Simple,Structured,Medium,8,6,7.0,9,2,9,5,1,8,45,96.8,17,1
R0026,Education,Kathmandu,COO,Python/Matplotlib,Complicated,Structured,High,4,9,2.0,3,7,3,6,8,5,41,45.6,4,0
R0027,Consulting,Chitwan,General Manager,No Tool,Complicated,Structured,Medium,5,7,9.0,7,1,9,6,7,4,9,20.5,17,0
R0028,Banking,Chitwan,CFO,Excel Charts,Complex,Structured,High,7,10,3.0,10,5,7,8,2,19,64,9.2,25,0
R0029,Retail,Pokhara,Department Head,Excel Charts,Simple,Structured,High,1,2,9.0,5,7,7,1,9,10,65,108.2,2,0
R0030,Banking,Lalitpur,COO,Tableau,Complex,Multi-structured,Low,5,4,1.0,2,2,5,3,7,17,77,7.5,3,0
R0031,HEALTHCARE,Lalitpur,COO,Python/Matplotlib,Complex,Unstructured,Medium,9,5,6.0,1,9,4,3,5,12,35,29.5,8,0
R0032,IT/Software,Lalitpur,CFO,No Tool,Complex,Structured,High,3,10,5.0,9,5,2,9,7,3,59,9.4,14,0
R0033,Healthcare,Lalitpur,COO,Power BI,Complicated,Structured,High,4,8,6.0,5,9,10,5,1,5,23,58.7,9,0
R0034,Education,Kathmandu,CEO,Tableau,Complicated,Unstructured,Low,10,1,,3,6,7,9,1,3,46,25.5,3,0
R0035,Education,Chitwan,CFO,Python/Matplotlib,Simple,Structured,Low,2,1,7.0,8,1,10,1,5,13,17,8.1,4,0
R0036,Banking,Lalitpur,CFO,No Tool,Complicated,Semi-structured,Medium,4,10,2.0,10,4,8,2,3,5,55,6.1,5,0
R0037,Education,Lalitpur,Department Head,Power BI,Complex,Structured,Medium,2,8,7.0,10,5,6,6,7,13,70,0.1,2,0
R0038,Banking,Pokhara,CFO,Python/Matplotlib,Complicated,Multi-structured,Medium,7,1,7.0,1,3,3,1,1,3,89,37.0,11,0
R0039,Healthcare,Lalitpur,CFO,Tableau,Complex,Semi-structured,High,4,8,7.0,8,5,3,1,7,5,25,28.3,4,0
R0040,Banking,Lalitpur,Department Head,Tableau,Complicated,Structured,Medium,7,5,3.0,8,1,5,10,8,9,82,9.3,14,0
R0041,Banking,Lalitpur,COO,Python/Matplotlib,Simple,Unstructured,High,3,5,3.0,8,8,1,8,3,18,8,0.6,13,0
R0042,Consulting,Chitwan,Department Head,Tableau,Complicated,Structured,High,7,5,10.0,9,6,7,5,10,3,91,69.5,23,0
R0043,IT/Software,Kathmandu,CEO,Python/Matplotlib,Chaotic,Structured,Low,2,1,8.0,1,8,5,3,6,5,25,69.1,15,0
R0044,IT/Software,Kathmandu,Department Head,Python/Matplotlib,Complicated,Multi-structured,Low,10,10,8.0,1,2,1,5,3,11,32,31.8,17,1
R0045,IT/Software,Kathmandu,Department Head,Excel Charts,Complicated,Unstructured,Medium,8,3,7.0,7,1,4,3,6,14,98,3.1,23,0
R0046,Retail,Lalitpur,Department Head,No Tool,Complex,Structured,Low,4,9,7.0,3,2,4,1,7,8,56,4.3,3,0
R0047,Healthcare,Chitwan,CFO,Excel Charts,Complicated,Structured,Low,2,9,1.0,4,2,9,8,7,4,81,6.1,22,0
R0048,Education,Kathmandu,CFO,Python/Matplotlib,Complicated,Unstructured,High,8,9,1.0,7,10,1,7,8,19,16,49.9,21,0
R0049,Banking,Lalitpur,COO,Excel Charts,Complicated,Structured,Medium,1,10,1.0,5,10,1,8,9,4,91,203.2,27,0
R0050,Consulting,Kathmandu,General Manager,Python/Matplotlib,Chaotic,Unstructured,Medium,6,7,10.0,4,3,4,9,6,17,45,4.6,23,1
R0051,IT/Software,Chitwan,CEO,Power BI,Simple,Structured,High,2,9,2.0,3,10,2,7,9,0,40,21.3,10,0
R0052,Banking,Biratnagar,CFO,Excel Charts,Simple,Structured,Medium,3,10,8.0,6,10,2,1,4,6,34,29.8,4,0
R0053,Consulting,Biratnagar,Department Head,Power BI,Complex,Structured,Medium,9,4,5.0,1,8,4,1,6,6,44,73.2,19,0
R0054,IT/Software,Biratnagar,CFO,Excel Charts,Simple,Structured,Medium,4,5,1.0,7,5,6,1,2,10,52,50.7,9,0
R0055,Education,Lalitpur,General Manager,Python/Matplotlib,Simple,Unstructured,Medium,4,4,6.0,8,8,3,6,3,1,52,69.0,19,0
R0056,Healthcare,Kathmandu,CEO,No Tool,Complicated,Multi-structured,High,7,6,5.0,10,9,8,10,4,19,95,88.5,10,0
R0057,Education,Chitwan,General Manager,Tableau,Complex,Structured,High,2,3,6.0,4,9,3,6,7,9,30,38.2,24,0
R0058,Education,Chitwan,CFO,Tableau,Chaotic,Structured,Medium,8,2,7.0,8,10,7,3,4,7,95,71.5,5,0
R0059,Education,Kathmandu,COO,Power BI,Chaotic,Unstructured,Medium,7,10,4.0,3,2,1,5,3,1,77,26.9,13,0
R0060,Healthcare,Kathmandu,CEO,Excel Charts,Complicated,Semi-structured,High,7,8,6.0,4,2,3,9,4,19,5,9999.0,7,1
R0061,Education,Chitwan,CEO,Power BI,Chaotic,Unstructured,Medium,2,4,4.0,7,9,6,5,10,1,21,9.9,22,0
R0062,Education,Biratnagar,General Manager,No Tool,Simple,Unstructured,Low,10,9,3.0,6,8,2,4,10,17,37,126.2,11,0
R0063,IT/Software,Kathmandu,CEO,Excel Charts,Complicated,Semi-structured,Medium,3,7,9.0,10,1,10,9,4,18,44,19.9,22,0
R0064,Education,Kathmandu,Department Head,Tableau,Complex,Unstructured,High,6,4,2.0,6,8,3,6,5,13,44,28.1,4,0
R0065,Healthcare,Biratnagar,CFO,No Tool,Complicated,Structured,Medium,9,9,2.0,6,10,1,5,9,12,98,138.1,5,0
R0066,Education,Kathmandu,General Manager,Python/Matplotlib,Chaotic,Unstructured,Medium,6,6,9.0,6,4,4,5,7,15,88,47.7,2,1
R0067,Healthcare,Biratnagar,CFO,No Tool,Complex,Structured,Medium,7,8,3.0,5,2,9,9,5,4,86,21.1,22,0
R0068,Consulting,Lalitpur,CEO,Excel Charts,Complicated,Structured,Low,5,3,3.0,6,3,7,7,5,14,82,46.5,12,0
R0069,Healthcare,Kathmandu,CFO,Excel Charts,Complex,Unstructured,Medium,2,4,8.0,5,6,5,7,4,6,45,31.8,13,0
R0070,Consulting,Lalitpur,General Manager,Tableau,Complex,Structured,Medium,6,7,,2,5,10,5,7,2,43,128.8,18,0
R0071,Healthcare,Biratnagar,General Manager,Power BI,Simple,Semi-structured,High,6,8,3.0,4,9,6,2,3,2,99,0.4,10,0
R0072,Retail,Pokhara,CFO,No Tool,Complicated,Unstructured,Medium,2,1,10.0,3,5,5,1,1,10,66,26.7,27,0
R0073,Education,Chitwan,Department Head,Python/Matplotlib,Complicated,Semi-structured,High,3,6,8.0,10,3,8,8,6,17,95,47.2,24,0
R0074,Retail,Chitwan,General Manager,No Tool,Chaotic,Semi-structured,High,7,8,9.0,1,2,1,7,7,3,27,32.0,18,1
R0075,Retail,Kathmandu,COO,Tableau,Complex,Multi-structured,Low,2,3,3.0,4,6,5,8,5,14,2,15.1,1,0
R0076,Consulting,Biratnagar,General Manager,Power BI,Complicated,Structured,High,6,6,3.0,2,10,10,3,4,8,52,35.9,0,0
R0077,Education,Pokhara,CEO,Power BI,Chaotic,Semi-structured,Medium,8,1,,1,4,10,3,8,0,98,1.0,20,0
R0078,Education,Biratnagar,CEO,No Tool,Simple,Unstructured,Medium,1,8,7.0,4,6,10,1,1,14,62,56.0,20,0
R0079,Retail,Lalitpur,CEO,No Tool,Complicated,Multi-structured,Low,5,6,10.0,10,7,8,10,6,19,47,43.9,18,0
R0080,Banking,Biratnagar,CFO,Power BI,Complicated,Structured,Medium,10,6,6.0,8,1,8,9,3,4,44,16.9,28,1
R0081,IT/Software,Chitwan,CFO,Tableau,Complex,Structured,High,3,2,4.0,1,8,6,8,3,8,99,88.2,16,0
R0082,Consulting,Pokhara,CEO,No Tool,Chaotic,Unstructured,Medium,3,1,4.0,3,8,6,4,10,15,63,52.6,25,0
R0083,Education,Chitwan,General Manager,Tableau,Complex,Semi-structured,High,5,7,7.0,8,8,4,3,9,16,21,10.7,28,0
R0084,Healthcare,Pokhara,COO,Excel Charts,Simple,Structured,High,9,2,4.0,5,8,6,6,8,18,82,17.9,25,0
R0085,Healthcare,Biratnagar,General Manager,Excel Charts,Complicated,Multi-structured,Medium,2,8,2.0,8,4,9,9,3,6,85,2.8,1,0
R0086,IT/Software,Chitwan,CFO,Python/Matplotlib,Complex,Multi-structured,Medium,10,2,8.0,6,3,6,3,9,3,91,48.7,22,0
R0087,Education,Biratnagar,COO,Python/Matplotlib,Complicated,Structured,Low,4,9,3.0,1,1,10,1,2,12,87,9.4,13,0
R0088,IT/Software,Biratnagar,CFO,Python/Matplotlib,Complex,Structured,High,10,1,1.0,9,2,9,5,10,7,20,23.5,26,0
R0089,IT/Software,Chitwan,COO,Power BI,Complex,Semi-structured,Medium,1,3,3.0,3,6,7,9,3,6,21,24.8,27,0
R0090,Consulting,Kathmandu,COO,Python/Matplotlib,Complex,Structured,High,6,3,3.0,4,10,8,10,6,15,19,16.5,19,0
R0091,IT/Software,Lalitpur,Department Head,Power BI,Complex,Structured,Medium,4,4,6.0,2,8,9,4,4,13,68,45.3,3,0
R0092,Education,Lalitpur,Department Head,Python/Matplotlib,Complex,Structured,High,8,6,1.0,1,10,2,6,2,13,35,141.2,14,0
R0093,Education,Chitwan,CEO,Tableau,Simple,Unstructured,Medium,5,7,4.0,3,4,5,4,9,6,6,5.1,21,0
R0094,Banking,Lalitpur,CFO,Python/Matplotlib,Complex,Structured,High,6,7,2.0,1,8,8,1,4,16,44,32.5,3,0
R0095,IT/Software,Biratnagar,General Manager,Python/Matplotlib,Complex,Multi-structured,High,9,6,1.0,2,7,6,3,1,5,95,6.5,8,0
R0096,Education,Pokhara,General Manager,Python/Matplotlib,Complex,Unstructured,High,4,10,5.0,7,8,3,10,7,15,54,10.0,26,0
R0097,Banking,Biratnagar,CFO,Power BI,Simple,Structured,Medium,9,10,3.0,10,2,1,3,5,13,26,24.5,26,0
R0098,Retail,Kathmandu,General Manager,No Tool,Simple,Structured,Medium,4,9,9.0,6,3,1,7,1,4,14,7.5,16,0
R0099,Retail,Pokhara,CFO,Python/Matplotlib,Complex,Structured,Medium,4,9,9.0,2,8,7,1,4,5,80,5.7,11,0
R0100,Education,Kathmandu,CEO,Excel Charts,Complex,Structured,High,8,1,7.0,7,8,5,4,2,12,34,39.7,29,0
R0101,Consulting,Lalitpur,General Manager,Python/Matplotlib,Complicated,Unstructured,High,3,8,2.0,8,8,6,4,8,17,15,48.9,0,0
R0102,Retail,Biratnagar,CFO,Excel Charts,Complex,Semi-structured,Medium,6,3,2.0,6,8,7,8,8,0,25,85.6,23,0
R0103,Education,Biratnagar,Department Head,No Tool,Simple,Unstructured,Medium,8,7,7.0,7,4,4,3,2,4,1,14.4,0,1
R0104,Consulting,Chitwan,COO,Excel Charts,Simple,Structured,Medium,4,3,4.0,1,3,4,7,2,2,93,79.5,1,0
R0105,IT/Software,Kathmandu,CEO,Python/Matplotlib,Complex,Unstructured,High,4,7,10.0,6,4,1,5,9,10,41,0.5,1,0
R0106,IT/Software,Kathmandu,Department Head,No Tool,Chaotic,Multi-structured,High,2,6,9.0,6,10,4,10,8,18,78,16.8,12,0
R0107,Consulting,Biratnagar,COO,Tableau,Complicated,Structured,Medium,6,3,10.0,2,7,7,6,6,8,62,11.4,26,0
R0108,Banking,Pokhara,Department Head,Python/Matplotlib,Complicated,Structured,High,10,7,9.0,6,7,1,6,10,16,5,16.6,22,1
R0109,Consulting,Chitwan,CFO,Python/Matplotlib,Complicated,Unstructured,Medium,5,9,5.0,3,2,7,5,8,17,17,52.4,12,0
R0110,Consulting,Lalitpur,Department Head,Excel Charts,Complex,Structured,Medium,10,1,10.0,10,1,9,2,8,15,57,103.0,15,0
R0111,IT/Software,Chitwan,Department Head,Power BI,Complicated,Structured,Low,2,4,7.0,8,7,8,5,8,13,56,12.1,8,0
R0112,Education,Biratnagar,COO,Tableau,Complicated,Unstructured,Medium,10,1,9.0,8,6,9,6,8,7,69,36.1,0,0
R0113,Healthcare,Pokhara,CEO,Tableau,Complex,Unstructured,High,8,2,4.0,4,8,4,3,5,14,6,60.8,26,0
R0114,RETAIL,Pokhara,General Manager,Excel Charts,Simple,Multi-structured,High,4,2,5.0,10,1,7,2,5,14,99,43.8,14,0
R0115,Consulting,Lalitpur,General Manager,Tableau,Complex,Structured,High,7,7,1.0,4,6,5,5,2,7,47,18.1,11,0
R0116,IT/Software,Biratnagar,CFO,Tableau,Complex,Semi-structured,Low,1,1,1.0,1,8,3,7,8,14,13,45.5,7,0
R0117,IT/Software,Biratnagar,Department Head,Tableau,Chaotic,Structured,High,5,6,7.0,3,10,6,2,8,11,62,3.6,7,0
R0118,Healthcare,Pokhara,CEO,Power BI,Complex,Semi-structured,Medium,6,3,5.0,1,4,4,5,3,18,13,32.3,14,0
R0119,Healthcare,Pokhara,CFO,No Tool,Complex,Unstructured,High,6,2,9.0,2,2,2,2,4,0,15,126.1,12,0
R0120,CONSULTING,Pokhara,CEO,Power BI,Complicated,Structured,High,3,2,10.0,7,9,4,5,4,14,21,16.6,13,0
R0121,Retail,Kathmandu,CEO,Excel Charts,Complex,Semi-structured,Medium,10,8,7.0,9,4,3,9,8,14,28,9999.0,17,1
R0122,Banking,Kathmandu,Department Head,Python/Matplotlib,Complex,Semi-structured,High,3,10,4.0,7,6,4,1,5,6,75,8.8,29,0
R0123,IT/Software,Lalitpur,CFO,Tableau,Complicated,Structured,High,7,4,8.0,3,10,4,7,2,12,57,18.0,17,0
R0124,Retail,Lalitpur,General Manager,Tableau,Complex,Structured,Low,6,4,7.0,1,5,3,5,1,0,43,4.0,20,0
R0125,IT/Software,Kathmandu,General Manager,Tableau,Complicated,Structured,Medium,7,10,9.0,6,10,2,9,4,12,64,6.4,4,1
R0126,Banking,Kathmandu,CFO,Python/Matplotlib,Chaotic,Multi-structured,Medium,7,4,4.0,2,2,10,5,7,9,15,42.3,12,0
R0127,Retail,Kathmandu,CFO,Power BI,Complex,Semi-structured,Medium,9,1,8.0,4,10,7,4,8,6,95,21.2,6,0
R0128,Education,Pokhara,General Manager,No Tool,Complex,Semi-structured,Medium,5,6,3.0,4,8,10,5,8,6,98,37.3,15,0
R0129,Retail,Biratnagar,General Manager,Excel Charts,Chaotic,Structured,Medium,4,7,7.0,3,5,4,7,10,14,3,117.4,15,0
R0130,IT/Software,Pokhara,CEO,Python/Matplotlib,Complex,Unstructured,High,9,9,1.0,6,2,4,4,5,3,19,9999.0,26,0
R0131,Healthcare,Kathmandu,CEO,Python/Matplotlib,Complex,Structured,Low,6,10,6.0,9,2,8,9,7,7,86,103.9,23,1
R0132,Consulting,Kathmandu,Department Head,No Tool,Complex,Unstructured,High,6,9,4.0,1,1,1,10,8,11,96,19.3,8,0
R0133,Retail,Kathmandu,Department Head,Python/Matplotlib,Complex,Structured,Low,9,3,9.0,3,9,6,5,6,12,20,35.7,9,0
R0134,Healthcare,Biratnagar,CFO,Power BI,Chaotic,Multi-structured,Low,10,9,1.0,6,10,4,10,5,16,22,12.1,1,0
R0135,Consulting,Kathmandu,General Manager,No Tool,Complex,Structured,High,3,5,7.0,7,10,7,7,1,17,26,35.4,19,0
R0136,Healthcare,Pokhara,General Manager,Excel Charts,Complex,Structured,Medium,7,8,7.0,2,4,2,8,1,3,57,21.3,24,1
R0137,IT/Software,Lalitpur,COO,No Tool,Chaotic,Unstructured,Medium,4,8,8.0,10,2,3,6,5,15,38,71.7,23,0
R0138,Healthcare,Pokhara,CEO,No Tool,Complex,Structured,Medium,8,8,10.0,1,5,7,2,3,19,70,2.5,1,1
R0139,Banking,Kathmandu,CFO,Python/Matplotlib,Simple,Semi-structured,Medium,10,9,1.0,3,5,6,10,4,18,76,23.9,20,0
R0140,IT/Software,Kathmandu,CEO,Python/Matplotlib,Complex,Structured,High,9,3,10.0,4,4,4,8,3,8,82,17.9,5,0
R0141,Consulting,Biratnagar,COO,Python/Matplotlib,Complex,Semi-structured,Low,6,2,9.0,2,4,3,7,7,4,2,49.6,21,0
R0142,Healthcare,Pokhara,CEO,Power BI,Complex,Semi-structured,High,8,4,2.0,2,5,2,9,4,14,80,5.0,25,0
R0143,Consulting,Biratnagar,General Manager,No Tool,Chaotic,Structured,Medium,10,4,3.0,6,4,10,10,1,1,83,9.5,23,0
R0144,IT/Software,Pokhara,COO,Python/Matplotlib,Complex,Structured,High,5,1,8.0,10,3,10,10,10,15,25,24.5,4,0
R0145,Education,Lalitpur,COO,No Tool,Chaotic,Unstructured,High,3,2,8.0,1,3,4,1,10,18,57,73.4,25,0
R0146,IT/Software,Pokhara,General Manager,Power BI,Complex,Structured,High,7,3,10.0,2,2,6,7,10,2,67,159.3,20,0
R0147,Healthcare,Pokhara,CEO,Tableau,Chaotic,Unstructured,Medium,10,1,8.0,9,9,6,1,7,9,43,47.3,10,0
R0148,Education,Lalitpur,COO,Excel Charts,Complicated,Structured,High,5,6,1.0,4,4,10,3,10,15,69,67.9,11,0
R0149,Banking,Pokhara,CEO,No Tool,Complicated,Unstructured,Medium,2,10,1.0,10,8,6,5,6,5,45,51.1,12,0
R0150,Healthcare,Biratnagar,General Manager,Python/Matplotlib,Complex,Structured,Medium,9,6,5.0,9,2,7,7,7,10,45,4.0,4,0
R0151,Consulting,Biratnagar,CEO,Tableau,Complex,Semi-structured,Medium,4,10,,3,9,3,8,5,19,22,53.2,11,0
R0152,Consulting,Chitwan,General Manager,No Tool,Complex,Structured,Medium,6,5,6.0,7,5,5,1,3,4,43,58.5,6,0
R0153,Education,Pokhara,General Manager,Excel Charts,Complex,Multi-structured,Medium,3,1,10.0,9,1,7,4,4,11,19,25.7,6,0
R0154,IT/Software,Biratnagar,COO,Power BI,Complicated,Multi-structured,Medium,8,4,1.0,8,10,3,5,7,10,72,64.6,27,0
R0155,Banking,Pokhara,CEO,Excel Charts,Complicated,Unstructured,Medium,6,9,5.0,3,6,4,8,2,6,19,109.2,26,0
R0156,Education,Kathmandu,General Manager,Python/Matplotlib,Simple,Unstructured,Medium,10,6,4.0,4,5,7,3,8,9,37,49.8,23,0
R0157,Healthcare,Biratnagar,CFO,Excel Charts,Complicated,Unstructured,Medium,9,9,3.0,1,6,3,8,7,13,46,19.8,16,0
R0158,IT/Software,Kathmandu,CEO,Power BI,Complex,Structured,High,4,9,6.0,4,6,3,6,7,18,57,18.0,7,0
R0159,IT/Software,Lalitpur,General Manager,No Tool,Chaotic,Structured,Medium,1,8,6.0,7,6,4,7,7,9,8,84.3,15,0
R0160,Consulting,Pokhara,CFO,No Tool,Complex,Structured,Low,6,4,1.0,3,8,1,1,1,2,93,0.1,23,0
R0161,IT/Software,Lalitpur,Department Head,Tableau,Complex,Structured,Medium,10,10,10.0,1,3,7,5,7,12,62,42.1,5,1
R0162,Consulting,Kathmandu,General Manager,Power BI,Complicated,Semi-structured,Medium,1,7,10.0,10,9,9,7,2,15,17,39.3,23,0
R0163,Retail,Kathmandu,CFO,Excel Charts,Simple,Multi-structured,Low,8,4,2.0,10,3,8,4,3,5,96,39.6,7,0
R0164,Healthcare,Pokhara,COO,Excel Charts,Complicated,Multi-structured,High,6,8,2.0,1,7,5,5,10,1,43,15.2,19,0
R0165,Education,Pokhara,CEO,Power BI,Complex,Structured,Medium,1,8,1.0,10,4,6,6,8,3,37,32.8,22,0
R0166,Education,Chitwan,COO,Tableau,Complex,Structured,Medium,5,2,4.0,2,6,8,2,10,12,31,9999.0,18,0
R0167,Retail,Pokhara,Department Head,No Tool,Chaotic,Semi-structured,High,1,3,5.0,6,3,1,7,5,17,66,84.1,8,0
R0168,IT/Software,Biratnagar,CFO,Power BI,Complicated,Structured,High,5,4,10.0,4,10,1,7,7,11,51,132.5,1,0
R0169,Banking,Biratnagar,Department Head,Power BI,Complex,Unstructured,Low,2,7,10.0,3,10,8,8,4,14,37,20.3,17,0
R0170,Consulting,Kathmandu,COO,Excel Charts,Complex,Unstructured,High,3,3,5.0,8,2,8,2,4,19,61,80.6,19,0
R0171,Education,Biratnagar,COO,Excel Charts,Complex,Semi-structured,Low,6,6,1.0,2,8,5,8,6,2,54,26.3,27,0
R0172,Consulting,Chitwan,COO,Excel Charts,Simple,Unstructured,High,9,9,10.0,1,9,9,9,9,3,31,70.9,0,1
R0173,Banking,Lalitpur,General Manager,Python/Matplotlib,Complex,Structured,Medium,10,6,6.0,7,5,10,8,7,0,83,11.4,0,1
R0174,Consulting,Lalitpur,COO,Python/Matplotlib,Complex,Unstructured,Medium,4,3,9.0,1,10,2,1,3,11,80,36.0,28,0
R0175,Healthcare,Biratnagar,CEO,Power BI,Complex,Structured,Medium,10,8,8.0,2,10,8,6,7,7,8,2.9,28,1
R0176,Consulting,Kathmandu,CFO,Excel Charts,Simple,Semi-structured,Medium,7,2,9.0,2,3,2,9,6,14,21,7.0,23,0
R0177,Banking,Pokhara,Department Head,Python/Matplotlib,Chaotic,Multi-structured,High,4,3,6.0,3,3,4,1,9,16,52,43.1,20,0
R0178,IT/Software,Chitwan,CEO,Power BI,Complex,Semi-structured,High,10,1,6.0,9,4,7,4,3,5,46,4.9,22,0
R0179,Education,Pokhara,CFO,Python/Matplotlib,Simple,Unstructured,Low,2,6,7.0,7,7,6,8,1,19,86,13.9,24,0
R0180,Consulting,Pokhara,Department Head,Tableau,Complex,Structured,Low,9,6,4.0,10,2,1,7,2,2,73,0.9,28,0
R0181,Healthcare,Pokhara,General Manager,No Tool,Simple,Structured,Medium,8,1,3.0,6,6,4,6,6,4,82,10.1,22,0
R0182,Retail,Pokhara,CEO,Power BI,Simple,Multi-structured,Medium,7,4,7.0,10,5,10,6,7,11,63,25.9,21,0
R0183,Banking,Chitwan,CEO,Excel Charts,Complex,Multi-structured,Low,6,4,4.0,4,2,9,6,6,16,81,40.4,18,0
R0184,Retail,Pokhara,COO,Tableau,Complex,Unstructured,Medium,6,10,6.0,8,7,4,6,6,5,35,9999.0,8,1
R0185,Banking,Kathmandu,COO,Excel Charts,Complex,Structured,Medium,3,2,7.0,10,2,7,9,7,10,58,3.4,10,0
R0186,Retail,Lalitpur,Department Head,Excel Charts,Simple,Structured,Low,1,5,8.0,10,1,6,1,5,12,13,114.8,2,0
R0187,Healthcare,Kathmandu,Department Head,Tableau,Complicated,Structured,Medium,1,2,9.0,7,7,1,4,4,6,38,49.5,12,0
R0188,Healthcare,Kathmandu,Department Head,Power BI,Simple,Unstructured,Medium,10,4,2.0,9,4,3,1,5,15,70,39.7,8,0
R0189,Consulting,Lalitpur,Department Head,No Tool,Complicated,Unstructured,Medium,7,8,1.0,1,9,6,7,2,10,3,21.1,24,0
R0190,Consulting,Kathmandu,CFO,No Tool,Simple,Structured,Medium,2,9,9.0,8,9,10,7,1,3,86,9.5,6,0
R0191,Education,Lalitpur,General Manager,Python/Matplotlib,Complex,Semi-structured,Low,4,10,3.0,9,2,1,5,2,5,51,9999.0,7,0
R0192,Healthcare,Kathmandu,COO,No Tool,Complex,Semi-structured,Medium,7,6,3.0,4,8,6,3,5,8,30,23.2,12,0
R0193,Banking,Pokhara,Department Head,Tableau,Complex,Structured,High,2,1,10.0,6,8,5,2,2,15,17,90.3,5,0
R0194,Banking,Pokhara,CEO,Excel Charts,Complex,Structured,High,6,8,5.0,5,5,3,9,1,10,90,60.1,27,0
R0195,Healthcare,Lalitpur,Department Head,No Tool,Simple,Semi-structured,Medium,10,2,9.0,4,7,7,2,1,3,16,91.3,26,0
R0196,Healthcare,Lalitpur,Department Head,Excel Charts,Chaotic,Structured,High,5,4,8.0,8,1,7,6,10,6,57,3.2,25,0
R0197,Healthcare,Pokhara,General Manager,Excel Charts,Complex,Structured,Medium,9,10,10.0,10,6,10,4,5,16,99,89.3,1,1
R0198,Consulting,Lalitpur,General Manager,Tableau,Simple,Structured,High,4,10,9.0,2,10,4,6,10,1,76,35.7,22,0
